cycle,index,pc,instruction,rd,value
17,0,00000000,00000013,0,00000000
18,1,00000004,00108093,1,00000001
19,2,00000008,00110113,2,00000001
20,3,0000000c,00118193,3,00000001
33,4,00000010,00120213,4,00000001
34,5,00000014,00128293,5,00000001
35,6,00000018,00130313,6,00000001
36,7,0000001c,00108093,1,00000002
49,8,00000020,00110113,2,00000002
50,9,00000024,00118193,3,00000002
51,10,00000028,00120213,4,00000002
52,11,0000002c,00128293,5,00000002
65,12,00000030,00130313,6,00000002
66,13,00000034,00108093,1,00000003
67,14,00000038,00110113,2,00000003
68,15,0000003c,00118193,3,00000003
81,16,00000040,00120213,4,00000003
82,17,00000044,00128293,5,00000003
83,18,00000048,00130313,6,00000003
84,19,0000004c,00108093,1,00000004
97,20,00000050,00110113,2,00000004
98,21,00000054,00118193,3,00000004
99,22,00000058,00120213,4,00000004
100,23,0000005c,00128293,5,00000004
113,24,00000060,00130313,6,00000004
114,25,00000064,00108093,1,00000005
115,26,00000068,00110113,2,00000005
116,27,0000006c,00118193,3,00000005
129,28,00000070,00120213,4,00000005
130,29,00000074,00128293,5,00000005
131,30,00000078,00130313,6,00000005
132,31,0000007c,00108093,1,00000006
145,32,00000080,00110113,2,00000006
146,33,00000084,00118193,3,00000006
147,34,00000088,00120213,4,00000006
148,35,0000008c,00128293,5,00000006
161,36,00000090,00130313,6,00000006
162,37,00000094,00108093,1,00000007
163,38,00000098,00110113,2,00000007
164,39,0000009c,00118193,3,00000007
177,40,000000a0,00120213,4,00000007
178,41,000000a4,00128293,5,00000007
179,42,000000a8,00130313,6,00000007
180,43,000000ac,00108093,1,00000008
193,44,000000b0,00110113,2,00000008
194,45,000000b4,00118193,3,00000008
195,46,000000b8,00120213,4,00000008
196,47,000000bc,00128293,5,00000008
209,48,000000c0,00130313,6,00000008
210,49,000000c4,00108093,1,00000009
211,50,000000c8,00110113,2,00000009
212,51,000000cc,00118193,3,00000009
225,52,000000d0,00120213,4,00000009
226,53,000000d4,00128293,5,00000009
227,54,000000d8,00130313,6,00000009
228,55,000000dc,00108093,1,0000000a
241,56,000000e0,00110113,2,0000000a
242,57,000000e4,00118193,3,0000000a
243,58,000000e8,00120213,4,0000000a
