cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,7d000113,2,000007d0
12,2,00000008,00108093,1,00000001
15,3,0000000c,00208463,0,00000000
18,4,00000010,fe000ce3,0,00000000
22,5,00000008,00108093,1,00000002
25,6,0000000c,00208463,0,00000000
28,7,00000010,fe000ce3,0,00000000
32,8,00000008,00108093,1,00000003
35,9,0000000c,00208463,0,00000000
38,10,00000010,fe000ce3,0,00000000
42,11,00000008,00108093,1,00000004
45,12,0000000c,00208463,0,00000000
48,13,00000010,fe000ce3,0,00000000
52,14,00000008,00108093,1,00000005
55,15,0000000c,00208463,0,00000000
58,16,00000010,fe000ce3,0,00000000
62,17,00000008,00108093,1,00000006
65,18,0000000c,00208463,0,00000000
68,19,00000010,fe000ce3,0,00000000
72,20,00000008,00108093,1,00000007
75,21,0000000c,00208463,0,00000000
78,22,00000010,fe000ce3,0,00000000
82,23,00000008,00108093,1,00000008
85,24,0000000c,00208463,0,00000000
88,25,00000010,fe000ce3,0,00000000
92,26,00000008,00108093,1,00000009
95,27,0000000c,00208463,0,00000000
98,28,00000010,fe000ce3,0,00000000
102,29,00000008,00108093,1,0000000a
105,30,0000000c,00208463,0,00000000
108,31,00000010,fe000ce3,0,00000000
112,32,00000008,00108093,1,0000000b
115,33,0000000c,00208463,0,00000000
118,34,00000010,fe000ce3,0,00000000
122,35,00000008,00108093,1,0000000c
125,36,0000000c,00208463,0,00000000
128,37,00000010,fe000ce3,0,00000000
132,38,00000008,00108093,1,0000000d
135,39,0000000c,00208463,0,00000000
138,40,00000010,fe000ce3,0,00000000
142,41,00000008,00108093,1,0000000e
145,42,0000000c,00208463,0,00000000
148,43,00000010,fe000ce3,0,00000000
152,44,00000008,00108093,1,0000000f
155,45,0000000c,00208463,0,00000000
158,46,00000010,fe000ce3,0,00000000
162,47,00000008,00108093,1,00000010
165,48,0000000c,00208463,0,00000000
168,49,00000010,fe000ce3,0,00000000
172,50,00000008,00108093,1,00000011
175,51,0000000c,00208463,0,00000000
178,52,00000010,fe000ce3,0,00000000
182,53,00000008,00108093,1,00000012
185,54,0000000c,00208463,0,00000000
188,55,00000010,fe000ce3,0,00000000
192,56,00000008,00108093,1,00000013
195,57,0000000c,00208463,0,00000000
198,58,00000010,fe000ce3,0,00000000
202,59,00000008,00108093,1,00000014
205,60,0000000c,00208463,0,00000000
208,61,00000010,fe000ce3,0,00000000
212,62,00000008,00108093,1,00000015
215,63,0000000c,00208463,0,00000000
218,64,00000010,fe000ce3,0,00000000
222,65,00000008,00108093,1,00000016
225,66,0000000c,00208463,0,00000000
228,67,00000010,fe000ce3,0,00000000
232,68,00000008,00108093,1,00000017
235,69,0000000c,00208463,0,00000000
238,70,00000010,fe000ce3,0,00000000
242,71,00000008,00108093,1,00000018
245,72,0000000c,00208463,0,00000000
248,73,00000010,fe000ce3,0,00000000
252,74,00000008,00108093,1,00000019
255,75,0000000c,00208463,0,00000000
258,76,00000010,fe000ce3,0,00000000
262,77,00000008,00108093,1,0000001a
265,78,0000000c,00208463,0,00000000
