cycle,index,pc,instruction,rd,value
6,0,00000000,00006113,2,00000000
9,1,00000004,00406193,3,00000004
12,2,00000008,00106213,4,00000001
15,3,0000000c,000000b3,1,00000000
18,4,00000010,402182b3,5,00000004
21,5,00000014,00006313,6,00000000
24,6,00000018,000083b3,7,00000000
28,7,0000001c,0003a403,8,00000007
34,8,00000020,0043a483,9,00000003
39,9,00000024,0084a533,10,00000001
42,10,00000028,00050663,0,00000000
46,11,0000002c,0093a023,0,00000000
52,12,00000030,0083a223,0,00000000
57,13,00000034,003383b3,7,00000004
60,14,00000038,00430333,6,00000001
63,15,0000003c,00530463,0,00000000
66,16,00000040,fc000ee3,0,00000000
71,17,0000001c,0003a403,8,00000007
77,18,00000020,0043a483,9,00000009
82,19,00000024,0084a533,10,00000000
85,20,00000028,00050663,0,00000000
89,21,00000034,003383b3,7,00000008
92,22,00000038,00430333,6,00000002
95,23,0000003c,00530463,0,00000000
98,24,00000040,fc000ee3,0,00000000
102,25,0000001c,0003a403,8,00000009
108,26,00000020,0043a483,9,00000001
113,27,00000024,0084a533,10,00000001
116,28,00000028,00050663,0,00000000
120,29,0000002c,0093a023,0,00000000
126,30,00000030,0083a223,0,00000000
131,31,00000034,003383b3,7,0000000c
134,32,00000038,00430333,6,00000003
137,33,0000003c,00530463,0,00000000
140,34,00000040,fc000ee3,0,00000000
144,35,0000001c,0003a403,8,00000009
150,36,00000020,0043a483,9,00000005
155,37,00000024,0084a533,10,00000001
158,38,00000028,00050663,0,00000000
162,39,0000002c,0093a023,0,00000000
168,40,00000030,0083a223,0,00000000
173,41,00000034,003383b3,7,00000010
176,42,00000038,00430333,6,00000004
179,43,0000003c,00530463,0,00000000
183,44,00000044,00410133,2,00000001
186,45,00000048,00310463,0,00000000
189,46,0000004c,fc0002e3,0,00000000
193,47,00000010,402182b3,5,00000003
196,48,00000014,00006313,6,00000000
199,49,00000018,000083b3,7,00000000
203,50,0000001c,0003a403,8,00000003
209,51,00000020,0043a483,9,00000007
214,52,00000024,0084a533,10,00000000
217,53,00000028,00050663,0,00000000
221,54,00000034,003383b3,7,00000004
224,55,00000038,00430333,6,00000001
227,56,0000003c,00530463,0,00000000
230,57,00000040,fc000ee3,0,00000000
234,58,0000001c,0003a403,8,00000007
240,59,00000020,0043a483,9,00000001
245,60,00000024,0084a533,10,00000001
248,61,00000028,00050663,0,00000000
252,62,0000002c,0093a023,0,00000000
258,63,00000030,0083a223,0,00000000
263,64,00000034,003383b3,7,00000008
266,65,00000038,00430333,6,00000002
269,66,0000003c,00530463,0,00000000
272,67,00000040,fc000ee3,0,00000000
276,68,0000001c,0003a403,8,00000007
282,69,00000020,0043a483,9,00000005
287,70,00000024,0084a533,10,00000001
290,71,00000028,00050663,0,00000000
294,72,0000002c,0093a023,0,00000000
300,73,00000030,0083a223,0,00000000
305,74,00000034,003383b3,7,0000000c
308,75,00000038,00430333,6,00000003
311,76,0000003c,00530463,0,00000000
315,77,00000044,00410133,2,00000002
318,78,00000048,00310463,0,00000000
321,79,0000004c,fc0002e3,0,00000000
324,80,00000010,402182b3,5,00000002
327,81,00000014,00006313,6,00000000
330,82,00000018,000083b3,7,00000000
334,83,0000001c,0003a403,8,00000003
340,84,00000020,0043a483,9,00000001
345,85,00000024,0084a533,10,00000001
348,86,00000028,00050663,0,00000000
352,87,0000002c,0093a023,0,00000000
358,88,00000030,0083a223,0,00000000
363,89,00000034,003383b3,7,00000004
366,90,00000038,00430333,6,00000001
369,91,0000003c,00530463,0,00000000
372,92,00000040,fc000ee3,0,00000000
376,93,0000001c,0003a403,8,00000003
382,94,00000020,0043a483,9,00000005
387,95,00000024,0084a533,10,00000000
390,96,00000028,00050663,0,00000000
394,97,00000034,003383b3,7,00000008
397,98,00000038,00430333,6,00000002
400,99,0000003c,00530463,0,00000000
404,100,00000044,00410133,2,00000003
407,101,00000048,00310463,0,00000000
410,102,0000004c,fc0002e3,0,00000000
413,103,00000010,402182b3,5,00000001
416,104,00000014,00006313,6,00000000
419,105,00000018,000083b3,7,00000000
423,106,0000001c,0003a403,8,00000001
429,107,00000020,0043a483,9,00000003
434,108,00000024,0084a533,10,00000000
437,109,00000028,00050663,0,00000000
441,110,00000034,003383b3,7,00000004
444,111,00000038,00430333,6,00000001
447,112,0000003c,00530463,0,00000000
451,113,00000044,00410133,2,00000004
454,114,00000048,00310463,0,00000000
458,115,00000050,00000063,0,00000000
