cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,00400213,4,00000004
12,2,00000008,00000113,2,00000000
15,3,0000000c,02000193,3,00000020
19,4,00000010,00012283,5,00000001
24,5,00000014,005080b3,1,00000001
27,6,00000018,00410113,2,00000004
30,7,0000001c,fff18193,3,0000001f
33,8,00000020,00018463,0,00000000
36,9,00000024,fe0006e3,0,00000000
41,10,00000010,00012283,5,00000002
46,11,00000014,005080b3,1,00000003
49,12,00000018,00410113,2,00000008
52,13,0000001c,fff18193,3,0000001e
55,14,00000020,00018463,0,00000000
58,15,00000024,fe0006e3,0,00000000
63,16,00000010,00012283,5,00000003
68,17,00000014,005080b3,1,00000006
71,18,00000018,00410113,2,0000000c
74,19,0000001c,fff18193,3,0000001d
77,20,00000020,00018463,0,00000000
80,21,00000024,fe0006e3,0,00000000
85,22,00000010,00012283,5,00000004
90,23,00000014,005080b3,1,0000000a
93,24,00000018,00410113,2,00000010
96,25,0000001c,fff18193,3,0000001c
99,26,00000020,00018463,0,00000000
102,27,00000024,fe0006e3,0,00000000
107,28,00000010,00012283,5,00000005
112,29,00000014,005080b3,1,0000000f
115,30,00000018,00410113,2,00000014
118,31,0000001c,fff18193,3,0000001b
121,32,00000020,00018463,0,00000000
124,33,00000024,fe0006e3,0,00000000
129,34,00000010,00012283,5,00000006
134,35,00000014,005080b3,1,00000015
137,36,00000018,00410113,2,00000018
140,37,0000001c,fff18193,3,0000001a
143,38,00000020,00018463,0,00000000
146,39,00000024,fe0006e3,0,00000000
151,40,00000010,00012283,5,00000007
156,41,00000014,005080b3,1,0000001c
159,42,00000018,00410113,2,0000001c
162,43,0000001c,fff18193,3,00000019
165,44,00000020,00018463,0,00000000
168,45,00000024,fe0006e3,0,00000000
173,46,00000010,00012283,5,00000008
178,47,00000014,005080b3,1,00000024
181,48,00000018,00410113,2,00000020
184,49,0000001c,fff18193,3,00000018
187,50,00000020,00018463,0,00000000
190,51,00000024,fe0006e3,0,00000000
195,52,00000010,00012283,5,00000009
200,53,00000014,005080b3,1,0000002d
203,54,00000018,00410113,2,00000024
206,55,0000001c,fff18193,3,00000017
209,56,00000020,00018463,0,00000000
212,57,00000024,fe0006e3,0,00000000
217,58,00000010,00012283,5,0000000a
222,59,00000014,005080b3,1,00000037
225,60,00000018,00410113,2,00000028
228,61,0000001c,fff18193,3,00000016
231,62,00000020,00018463,0,00000000
234,63,00000024,fe0006e3,0,00000000
239,64,00000010,00012283,5,0000000b
244,65,00000014,005080b3,1,00000042
247,66,00000018,00410113,2,0000002c
250,67,0000001c,fff18193,3,00000015
253,68,00000020,00018463,0,00000000
256,69,00000024,fe0006e3,0,00000000
261,70,00000010,00012283,5,0000000c
266,71,00000014,005080b3,1,0000004e
269,72,00000018,00410113,2,00000030
272,73,0000001c,fff18193,3,00000014
275,74,00000020,00018463,0,00000000
278,75,00000024,fe0006e3,0,00000000
283,76,00000010,00012283,5,0000000d
288,77,00000014,005080b3,1,0000005b
291,78,00000018,00410113,2,00000034
294,79,0000001c,fff18193,3,00000013
297,80,00000020,00018463,0,00000000
300,81,00000024,fe0006e3,0,00000000
305,82,00000010,00012283,5,0000000e
310,83,00000014,005080b3,1,00000069
313,84,00000018,00410113,2,00000038
316,85,0000001c,fff18193,3,00000012
319,86,00000020,00018463,0,00000000
322,87,00000024,fe0006e3,0,00000000
327,88,00000010,00012283,5,0000000f
332,89,00000014,005080b3,1,00000078
335,90,00000018,00410113,2,0000003c
338,91,0000001c,fff18193,3,00000011
341,92,00000020,00018463,0,00000000
344,93,00000024,fe0006e3,0,00000000
349,94,00000010,00012283,5,00000010
354,95,00000014,005080b3,1,00000088
357,96,00000018,00410113,2,00000040
360,97,0000001c,fff18193,3,00000010
363,98,00000020,00018463,0,00000000
366,99,00000024,fe0006e3,0,00000000
371,100,00000010,00012283,5,00000011
376,101,00000014,005080b3,1,00000099
379,102,00000018,00410113,2,00000044
382,103,0000001c,fff18193,3,0000000f
385,104,00000020,00018463,0,00000000
388,105,00000024,fe0006e3,0,00000000
393,106,00000010,00012283,5,00000012
398,107,00000014,005080b3,1,000000ab
401,108,00000018,00410113,2,00000048
404,109,0000001c,fff18193,3,0000000e
407,110,00000020,00018463,0,00000000
410,111,00000024,fe0006e3,0,00000000
415,112,00000010,00012283,5,00000013
420,113,00000014,005080b3,1,000000be
423,114,00000018,00410113,2,0000004c
426,115,0000001c,fff18193,3,0000000d
429,116,00000020,00018463,0,00000000
432,117,00000024,fe0006e3,0,00000000
437,118,00000010,00012283,5,00000014
442,119,00000014,005080b3,1,000000d2
445,120,00000018,00410113,2,00000050
448,121,0000001c,fff18193,3,0000000c
451,122,00000020,00018463,0,00000000
454,123,00000024,fe0006e3,0,00000000
459,124,00000010,00012283,5,00000015
464,125,00000014,005080b3,1,000000e7
467,126,00000018,00410113,2,00000054
470,127,0000001c,fff18193,3,0000000b
473,128,00000020,00018463,0,00000000
476,129,00000024,fe0006e3,0,00000000
481,130,00000010,00012283,5,00000016
486,131,00000014,005080b3,1,000000fd
489,132,00000018,00410113,2,00000058
492,133,0000001c,fff18193,3,0000000a
495,134,00000020,00018463,0,00000000
498,135,00000024,fe0006e3,0,00000000
503,136,00000010,00012283,5,00000017
508,137,00000014,005080b3,1,00000114
511,138,00000018,00410113,2,0000005c
514,139,0000001c,fff18193,3,00000009
517,140,00000020,00018463,0,00000000
520,141,00000024,fe0006e3,0,00000000
525,142,00000010,00012283,5,00000018
530,143,00000014,005080b3,1,0000012c
533,144,00000018,00410113,2,00000060
536,145,0000001c,fff18193,3,00000008
539,146,00000020,00018463,0,00000000
542,147,00000024,fe0006e3,0,00000000
547,148,00000010,00012283,5,00000019
552,149,00000014,005080b3,1,00000145
555,150,00000018,00410113,2,00000064
558,151,0000001c,fff18193,3,00000007
561,152,00000020,00018463,0,00000000
564,153,00000024,fe0006e3,0,00000000
569,154,00000010,00012283,5,0000001a
574,155,00000014,005080b3,1,0000015f
577,156,00000018,00410113,2,00000068
580,157,0000001c,fff18193,3,00000006
583,158,00000020,00018463,0,00000000
586,159,00000024,fe0006e3,0,00000000
591,160,00000010,00012283,5,0000001b
596,161,00000014,005080b3,1,0000017a
599,162,00000018,00410113,2,0000006c
602,163,0000001c,fff18193,3,00000005
605,164,00000020,00018463,0,00000000
608,165,00000024,fe0006e3,0,00000000
613,166,00000010,00012283,5,0000001c
618,167,00000014,005080b3,1,00000196
