cycle,index,pc,instruction,rd,value
5,0,00000000,00000093,1,00000000
6,1,00000004,10000113,2,00000100
7,2,00000008,02000193,3,00000020
8,3,0000000c,0000a203,4,00000001
10,4,00000010,00412023,0,00000000
11,5,00000014,00408093,1,00000004
12,6,00000018,00410113,2,00000104
13,7,0000001c,fff18193,3,0000001f
14,8,00000020,00018463,0,00000000
15,9,00000024,fe0004e3,0,00000000
18,10,0000000c,0000a203,4,00000002
20,11,00000010,00412023,0,00000000
21,12,00000014,00408093,1,00000008
22,13,00000018,00410113,2,00000108
23,14,0000001c,fff18193,3,0000001e
24,15,00000020,00018463,0,00000000
25,16,00000024,fe0004e3,0,00000000
28,17,0000000c,0000a203,4,00000003
30,18,00000010,00412023,0,00000000
31,19,00000014,00408093,1,0000000c
32,20,00000018,00410113,2,0000010c
33,21,0000001c,fff18193,3,0000001d
34,22,00000020,00018463,0,00000000
35,23,00000024,fe0004e3,0,00000000
38,24,0000000c,0000a203,4,00000004
40,25,00000010,00412023,0,00000000
41,26,00000014,00408093,1,00000010
42,27,00000018,00410113,2,00000110
43,28,0000001c,fff18193,3,0000001c
44,29,00000020,00018463,0,00000000
45,30,00000024,fe0004e3,0,00000000
48,31,0000000c,0000a203,4,00000005
50,32,00000010,00412023,0,00000000
51,33,00000014,00408093,1,00000014
52,34,00000018,00410113,2,00000114
53,35,0000001c,fff18193,3,0000001b
54,36,00000020,00018463,0,00000000
55,37,00000024,fe0004e3,0,00000000
58,38,0000000c,0000a203,4,00000006
60,39,00000010,00412023,0,00000000
61,40,00000014,00408093,1,00000018
62,41,00000018,00410113,2,00000118
63,42,0000001c,fff18193,3,0000001a
64,43,00000020,00018463,0,00000000
65,44,00000024,fe0004e3,0,00000000
68,45,0000000c,0000a203,4,00000007
70,46,00000010,00412023,0,00000000
71,47,00000014,00408093,1,0000001c
72,48,00000018,00410113,2,0000011c
73,49,0000001c,fff18193,3,00000019
74,50,00000020,00018463,0,00000000
75,51,00000024,fe0004e3,0,00000000
78,52,0000000c,0000a203,4,00000008
80,53,00000010,00412023,0,00000000
81,54,00000014,00408093,1,00000020
82,55,00000018,00410113,2,00000120
83,56,0000001c,fff18193,3,00000018
84,57,00000020,00018463,0,00000000
85,58,00000024,fe0004e3,0,00000000
88,59,0000000c,0000a203,4,00000009
90,60,00000010,00412023,0,00000000
91,61,00000014,00408093,1,00000024
92,62,00000018,00410113,2,00000124
93,63,0000001c,fff18193,3,00000017
94,64,00000020,00018463,0,00000000
95,65,00000024,fe0004e3,0,00000000
98,66,0000000c,0000a203,4,0000000a
100,67,00000010,00412023,0,00000000
101,68,00000014,00408093,1,00000028
102,69,00000018,00410113,2,00000128
103,70,0000001c,fff18193,3,00000016
104,71,00000020,00018463,0,00000000
105,72,00000024,fe0004e3,0,00000000
108,73,0000000c,0000a203,4,0000000b
