cycle,index,pc,instruction,rd,value
17,0,00000000,00000013,0,00000000
18,1,00000004,00108093,1,00000001
19,2,00000008,00108093,1,00000002
20,3,0000000c,00108093,1,00000003
33,4,00000010,00108093,1,00000004
34,5,00000014,00108093,1,00000005
35,6,00000018,00108093,1,00000006
36,7,0000001c,00108093,1,00000007
49,8,00000020,00108093,1,00000008
50,9,00000024,00108093,1,00000009
51,10,00000028,00108093,1,0000000a
52,11,0000002c,00108093,1,0000000b
65,12,00000030,00108093,1,0000000c
66,13,00000034,00108093,1,0000000d
67,14,00000038,00108093,1,0000000e
68,15,0000003c,00108093,1,0000000f
81,16,00000040,00108093,1,00000010
82,17,00000044,00108093,1,00000011
83,18,00000048,00108093,1,00000012
84,19,0000004c,00108093,1,00000013
97,20,00000050,00108093,1,00000014
98,21,00000054,00108093,1,00000015
99,22,00000058,00108093,1,00000016
100,23,0000005c,00108093,1,00000017
113,24,00000060,00108093,1,00000018
114,25,00000064,00108093,1,00000019
115,26,00000068,00108093,1,0000001a
116,27,0000006c,00108093,1,0000001b
129,28,00000070,00108093,1,0000001c
130,29,00000074,00108093,1,0000001d
131,30,00000078,00108093,1,0000001e
132,31,0000007c,00108093,1,0000001f
145,32,00000080,00108093,1,00000020
146,33,00000084,00108093,1,00000021
147,34,00000088,00108093,1,00000022
148,35,0000008c,00108093,1,00000023
161,36,00000090,00108093,1,00000024
162,37,00000094,00108093,1,00000025
163,38,00000098,00108093,1,00000026
164,39,0000009c,00108093,1,00000027
177,40,000000a0,00108093,1,00000028
178,41,000000a4,00108093,1,00000029
179,42,000000a8,00108093,1,0000002a
180,43,000000ac,00108093,1,0000002b
193,44,000000b0,00108093,1,0000002c
194,45,000000b4,00108093,1,0000002d
195,46,000000b8,00108093,1,0000002e
196,47,000000bc,00108093,1,0000002f
209,48,000000c0,00108093,1,00000030
210,49,000000c4,00108093,1,00000031
211,50,000000c8,00108093,1,00000032
212,51,000000cc,00108093,1,00000033
225,52,000000d0,00108093,1,00000034
226,53,000000d4,00108093,1,00000035
227,54,000000d8,00108093,1,00000036
228,55,000000dc,00108093,1,00000037
241,56,000000e0,00108093,1,00000038
242,57,000000e4,00108093,1,00000039
