workload,config,cycles,instret,stall_data,stall_fetch,stall_memory,flush,hw_branches,hw_mispredict,measured_branches,measured_mispredict,icache_hits,icache_misses,dcache_hits,dcache_misses,stores,config_name,cpi,ipc,sim_clock_mhz,modeled_time_us,modeled_mips,branch_accuracy_excluding_terminal,routed_fmax_estimate_mhz,routed_time_estimate_us,routed_mips_estimate,verified_clock_mhz,verified_time_us,verified_mips,same_clock_speedup_vs_sc,same_clock_speedup_vs_pbase,required_frequency_ratio_vs_sc
legacy_sort5,0,116,116,0,0,0,0,0,0,33,0,0,0,0,0,12,SC 原单周期,1.0,1.0,100,1.16,100.0,,85.71918395336876,1.353256,85.71918395336876,83.33333333333333,1.392,83.33333333333333,1.0,4.008620689655173,1.0
legacy_sort5,1,166,116,10,0,0,19,34,19,33,18,0,0,0,0,12,P-IDEAL 理想存储流水线,1.4310344827586208,0.6987951807228916,100,1.66,69.87951807228916,0.4545454545454546,93.79983116030391,1.769726,65.5468699674413,90.9090909090909,1.826,63.526834611171964,0.6987951807228916,2.8012048192771086,1.4310344827586208
legacy_sort5,2,465,116,0,297,32,19,34,19,33,18,0,0,0,0,12,P-BASE 同步存储流水线,4.008620689655173,0.24946236559139784,100,4.65,24.946236559139784,0.4545454545454546,,,,,,,0.24946236559139784,1.0,4.008620689655173
legacy_sort5,3,267,116,10,61,41,19,34,19,33,18,132,6,30,2,12,P-CACHE 双 Cache,2.3017241379310347,0.4344569288389513,100,2.67,43.445692883895134,0.4545454545454546,,,,,,,0.4344569288389513,1.7415730337078652,2.3017241379310347
legacy_sort5,4,458,116,0,297,32,12,34,12,33,11,0,0,0,0,12,P-BP 分支预测,3.9482758620689653,0.25327510917030566,100,4.58,25.32751091703057,0.6666666666666667,,,,,,,0.25327510917030566,1.01528384279476,3.9482758620689653
legacy_sort5,5,253,116,10,61,41,12,34,12,33,11,125,6,30,2,12,P-FULL 双 Cache + 预测,2.1810344827586206,0.45849802371541504,100,2.53,45.8498023715415,0.6666666666666667,,,,,,,0.45849802371541504,1.8379446640316206,2.1810344827586206
alu_independent,0,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,SC 原单周期,1.0,1.0,100,1.94,100.0,,85.71918395336876,2.263204,85.71918395336876,83.33333333333333,2.328,83.33333333333333,1.0,3.015463917525773,1.0
alu_independent,1,198,194,0,0,0,1,1,1,0,0,0,0,0,0,0,P-IDEAL 理想存储流水线,1.0206185567010309,0.9797979797979798,100,1.98,97.97979797979798,,93.79983116030391,2.1108779999999996,91.90488507625739,90.9090909090909,2.178,89.07254361799816,0.9797979797979798,2.9545454545454546,1.0206185567010309
alu_independent,2,585,194,0,389,0,1,1,1,0,0,0,0,0,0,0,P-BASE 同步存储流水线,3.015463917525773,0.3316239316239316,100,5.85,33.162393162393165,,,,,,,,0.3316239316239316,1.0,3.015463917525773
alu_independent,3,786,194,0,588,0,1,1,1,0,0,148,49,0,0,0,P-CACHE 双 Cache,4.051546391752577,0.24681933842239187,100,7.86,24.681933842239186,,,,,,,,0.24681933842239187,0.7442748091603053,4.051546391752577
alu_independent,4,585,194,0,389,0,1,1,1,0,0,0,0,0,0,0,P-BP 分支预测,3.015463917525773,0.3316239316239316,100,5.85,33.162393162393165,,,,,,,,0.3316239316239316,1.0,3.015463917525773
alu_independent,5,786,194,0,588,0,1,1,1,0,0,148,49,0,0,0,P-FULL 双 Cache + 预测,4.051546391752577,0.24681933842239187,100,7.86,24.681933842239186,,,,,,,,0.24681933842239187,0.7442748091603053,4.051546391752577
raw_chain,0,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,SC 原单周期,1.0,1.0,100,1.94,100.0,,85.71918395336876,2.263204,85.71918395336876,83.33333333333333,2.328,83.33333333333333,1.0,3.015463917525773,1.0
raw_chain,1,198,194,0,0,0,1,1,1,0,0,0,0,0,0,0,P-IDEAL 理想存储流水线,1.0206185567010309,0.9797979797979798,100,1.98,97.97979797979798,,93.79983116030391,2.1108779999999996,91.90488507625739,90.9090909090909,2.178,89.07254361799816,0.9797979797979798,2.9545454545454546,1.0206185567010309
raw_chain,2,585,194,0,389,0,1,1,1,0,0,0,0,0,0,0,P-BASE 同步存储流水线,3.015463917525773,0.3316239316239316,100,5.85,33.162393162393165,,,,,,,,0.3316239316239316,1.0,3.015463917525773
